site,destination,code
apollo,La Gomera,@taciid322542
apollo,Oslo,@taciid157768
apollo,Helsingfors,@taciid227200
apollo,Köpenhamn,@taciid513908
apollo,Istanbul,@taciid513909
apollo,Alanya,@taciid325507
apollo,Side,@taciid325611
apollo,Erciyes,@taciid1623999
apollo,Malta,@taciid326100
apollo,Tallinn,@taciid526281
apollo,Riga,@taciid520923
apollo,Prag,@taciid513907
apollo,Budapest,@taciid513911
apollo,Dublin,@taciid513912
apollo,Rom,@taciid325703
apollo,Venedig,@taciid325858
apollo,Florens,@taciid1254840
apollo,Pisa,@taciid521830
apollo,Sardinien,@taciid522329
apollo,Sicilien,@taciid325901
apollo,Alagna,@taciid1624075
apollo,Gdansk,@taciid524211
apollo,Krakow,@taciid522119
apollo,Warszawa,@taciid149827
apollo,London,@taciid326982
apollo,Edinburgh,@taciid521612
apollo,Manchester,@taciid522330
apollo,Berlin,@taciid513861
apollo,Amsterdam,@taciid513910
apollo,Wien,@taciid522116
apollo,Skiathos,@taciid324314
apollo,Vasilias,@taciid324320
apollo,Skiathos Stad,@taciid324315
apollo,Koukounaries,@taciid324318
apollo,Megali Ammos,@taciid324316
apollo,Achladies,@taciid324317
apollo,Kanapitsa & Kalamaki,@taciid534987
apollo,Aselinos,@taciid540881
apollo,Kolios,@taciid167760
apollo,Agia Paraskevi,@taciid150835
apollo,Troulos,@taciid409336
apollo,Kreta,@taciid322629
apollo,Anissaras,@taciid323026
apollo,Rethymnon kust,@taciid330246
apollo,Agios Nikolaos,@taciid322700
apollo,Maleme,@taciid323357
apollo,Kato Stalos,@taciid323051
apollo,Georgioupolis,@taciid322752
apollo,Platanias,@taciid323115
apollo,Almyrida & Kalives,@taciid322674
apollo,Kastelli,@taciid323324
apollo,"Hersonissos, Stalis & Malia",@taciid322808
apollo,Rethymnon stad,@taciid322852
apollo,Agia Marina,@taciid323214
apollo,Gerani,@taciid524570
apollo,Kolymbari,@taciid323374
apollo,Gouves,@taciid543584
apollo,Agii Apostoli,@taciid323268
apollo,Chania Stad,@taciid323270
apollo,Ierapetra & Koutsounari,@taciid539138
apollo,Plakias,@taciid336695
apollo,Kokkini Chani,@taciid416439
apollo,Paleochora,@taciid323009
apollo,Topptursåkning,@taciid1623927
apollo,Rhodos,@taciid324146
apollo,"Ialyssos, Ixia & Kremasti",@taciid324148
apollo,Kalithea & Faliraki,@taciid324150
apollo,Rhodos stad,@taciid324149
apollo,Afandou & Kolymbia,@taciid333070
apollo,Lindos,@taciid324152
apollo,"Lardos, Kiotari & Pefkos",@taciid324147
apollo,Sivota,@taciid445347
apollo,Lefkas,@taciid324067
apollo,Parga,@taciid446334
apollo,Mytikas,@taciid1253171
apollo,Zakynthos,@taciid323532
apollo,Argassi,@taciid323533
apollo,Tsilivi,@taciid323537
apollo,Kalamaki,@taciid323535
apollo,Laganas,@taciid323534
apollo,Tragaki,@taciid543177
apollo,Alykes,@taciid161150
apollo,Thessaloniki,@taciid519643
apollo,Tilos,@taciid325082
apollo,Kos,@taciid324946
apollo,Kardamena,@taciid324951
apollo,Kos stad,@taciid324947
apollo,Tigaki & Marmari,@taciid324948
apollo,Psalidi,@taciid324950
apollo,Lambi,@taciid324949
apollo,Kalymnos,@taciid325037
apollo,Leros,@taciid343690
apollo,Ioannina,@taciid1092792
apollo,Kanali,@taciid532801
apollo,Alonissos,@taciid434368
apollo,Samos,@taciid323443
apollo,Kokkari,@taciid323447
apollo,Pythagorion,@taciid323445
apollo,Votsalakia,@taciid323446
apollo,Karlovassi,@taciid435152
apollo,Samos stad,@taciid323444
apollo,Santorini,@taciid324523
apollo,Perivolos & Perissa,@taciid324526
apollo,Kamari & Agia Paraskevi,@taciid324524
apollo,Caldera,@taciid324525
apollo,Vlychada,@taciid324527
apollo,Naxos,@taciid324710
apollo,Naxos stad,@taciid324712
apollo,"Agia Anna, Agios Prokopios, Plaka Beach & Mikri Vigla",@taciid324711
apollo,Paros,@taciid324482
apollo,Skopelos,@taciid324428
apollo,Karpathos,@taciid323676
apollo,Amopi,@taciid323677
apollo,Karpathos stad,@taciid323678
apollo,Lefkos,@taciid323679
apollo,Lesvos,@taciid323881
apollo,Plomari,@taciid536235
apollo,Molyvos,@taciid149197
apollo,Petra,@taciid149198
apollo,Mitilini,@taciid1205276
apollo,Limnos,@taciid156930
apollo,Zagoria,@taciid544426
apollo,Ammoudia,@taciid445345
apollo,Ios,@taciid324687
apollo,Paleros,@taciid158699
apollo,Antiparos,@taciid325111
apollo,Symi,@taciid324417
apollo,Perdika & Karavostasi,@taciid1247757
apollo,Preveza,@taciid1091155
apollo,Korfu,@taciid323780
apollo,Agios Georgios,@taciid323781
apollo,Agios Ioannis Peristeron,@taciid545901
apollo,Moraitika,@taciid323785
apollo,Gouvia & Kontokali,@taciid323782
apollo,Benitses,@taciid148173
apollo,Sidari,@taciid1206447
apollo,Barbati,@taciid166013
apollo,Korfu Stad,@taciid323787
apollo,Dassia & Ipsos,@taciid1204246
apollo,Paxos,@taciid525547
apollo,Pserimos,@taciid537945
apollo,Vrachos,@taciid544992
apollo,Parnassos,@taciid1624106
apollo,Aten,@taciid324793
apollo,Tivat,@taciid225148
apollo,Dubrovnik,@taciid326701
apollo,Pula,@taciid526339
apollo,Brac,@taciid326739
apollo,Split & Podstrana,@taciid326764
apollo,Makarska rivieran,@taciid326564
apollo,Tucepi,@taciid326567
apollo,Makarska,@taciid326565
apollo,Podgora,@taciid326566
apollo,Baska Voda,@taciid531928
apollo,Skärgårdskryssningar,@taciid551594
apollo,Omis riviera,@taciid1246873
apollo,Estoril och Cascais,@taciid170698
apollo,Ericeira,@taciid170700
apollo,Vila Real de Santo Antonio,@taciid171221
apollo,Lissabon,@taciid321577
apollo,Paco de Arcos,@taciid170699
apollo,Tavira,@taciid169918
apollo,Albufeira,@taciid321511
apollo,Madeira,@taciid321456
apollo,Funchal,@taciid321457
apollo,Ayia Napa,@taciid325982
apollo,Paphos,@taciid1091010
apollo,Fig Tree Bay,@taciid325984
apollo,Limassol,@taciid1101978
apollo,Coral Bay,@taciid1251041
apollo,Nessebar,@taciid326515
apollo,Sunny Beach,@taciid326307
apollo,Sveti Vlas,@taciid326449
apollo,Sozopol,@taciid326483
apollo,Bansko,@taciid1624000
apollo,Durres Riviera,@taciid542217
apollo,Saranda,@taciid503963
apollo,Gudauri,@taciid1623725
apollo,Kapstaden,@taciid546305
apollo,Hammamet,@taciid1206435
apollo,Sousse,@taciid1206436
apollo,Mauritius,@taciid328927
apollo,Hurghada,@taciid328437
apollo,Sahl Hasheesh,@taciid349569
apollo,Abu Soma,@taciid495163
apollo,Marrakech,@taciid328688
apollo,Agadir,@taciid328649
apollo,Gambia,@taciid1257250
apollo,Tokyo,@taciid545881
apollo,Hokkaido,@taciid1623920
apollo,Singapore,@taciid328098
apollo,Ajman,@taciid523725
apollo,Dubai,@taciid328106
apollo,Jumeirah Beach & Dubai Marina,@taciid523733
apollo,Dubai Palm Jumeirah,@taciid523734
apollo,Dubai Jebel Ali,@taciid523768
apollo,Bur Dubai & Deira,@taciid523728
apollo,Dubai Al Barsha & Barsha Heights,@taciid546188
apollo,Ras Al Khaimah,@taciid328141
apollo,Maldiverna,@taciid328144
apollo,Phuket,@taciid327030
apollo,Kata Beach,@taciid327035
apollo,Kata Noi Beach,@taciid327034
apollo,Nai Harn Beach,@taciid532008
apollo,Thalang,@taciid506960
apollo,Karon Beach,@taciid327031
apollo,Bangtao Beach,@taciid330796
apollo,Hua Hin,@taciid537077
apollo,Khao Lak,@taciid327262
apollo,Bangkok,@taciid327172
apollo,Koh Lanta,@taciid327318
apollo,Krabi,@taciid327427
apollo,Ao Nang,@taciid327429
apollo,Klong Muang,@taciid327431
apollo,Langkawi,@taciid328174
apollo,Bali,@taciid327902
apollo,Kosgoda,@taciid1252435
apollo,Galle,@taciid425339
apollo,Negombo,@taciid327854
apollo,Hikkaduwa,@taciid327855
apollo,Saigon,@taciid327756
apollo,Phan Thiet,@taciid327785
apollo,New York,@taciid329416
apollo,Fort Lauderdale,@taciid513916
apollo,Miami,@taciid513914
apollo,Washington,@taciid347944
apollo,San Francisco,@taciid513918
apollo,Los Angeles,@taciid513917
apollo,Boston,@taciid544908
apollo,Chicago,@taciid513913
apollo,Cancun,@taciid329227
apollo,Costa Mujeres,@taciid1252343
apollo,Aruba,@taciid533581
apollo,St Martin,@taciid225149
apollo,Curaçao,@taciid332671
apollo,Punta Cana,@taciid329041
apollo,Costa Rica,@taciid1253327
apollo,British Columbia,@taciid1624016
apollo,Rio de Janeiro,@taciid329534
apollo,Sitia,@taciid538906
apollo,Makrigialos/Koutsouras,@taciid539210
apollo,Palekastro,@taciid539222
tripx,Tirana,TIA
tripx,Bryssel,BRU
tripx,Burgas,BOJ
tripx,Sofia,SOF
tripx,Varna,VAR
tripx,Larnaca,LCA
tripx,Aalborg,AAL
tripx,Billund,BLL
tripx,Köpenhamn,CPH
tripx,Cairo,CAI
tripx,Hurghada,HRG
tripx,Sharm El Sheikh,SSH
tripx,Tallinn,TLL
tripx,Helsingfors,HEL
tripx,Åbo,TKU
tripx,Bordeaux,BOD
tripx,Korsika,BIA
tripx,Lyon,LYS
tripx,Marseille,MRS
tripx,Montpellier,MPL
tripx,Nice,NCE
tripx,Paris,PAR
tripx,Toulouse,TLS
tripx,Abu Dhabi,AUH
tripx,Dubai,DXB
tripx,Kutaisi,KUT
tripx,Tbilisi,TBS
tripx,Aten,ATH
tripx,Chania (Kreta),CHQ
tripx,Heraklion (Kreta),HER
tripx,Korfu,CFU
tripx,Lefkas,PVK
tripx,Mykonos,JMK
tripx,Rhodos,RHO
tripx,Santorini,JTR
tripx,Thessaloniki,SKG
tripx,Dublin,DUB
tripx,Reykjavik,REK
tripx,Amalfikusten,AMF
tripx,Bari,BRI
tripx,Bologna,BLQ
tripx,Catania (Sicilien),CTA
tripx,Florens,FLR
tripx,Milano,MIL
tripx,Neapel,NAP
tripx,Palermo (Sicilien),PMO
tripx,Pisa,PSA
tripx,Rimini,RMI
tripx,Rom,ROM
tripx,Sardinien,OLB
tripx,Venedig,VCE
tripx,Verona,VRN
tripx,Dubrovnik,DBV
tripx,Pula - Istria,PUY
tripx,Split-regionen,SPU
tripx,Zadar,ZAD
tripx,Riga,RIX
tripx,Kaunas,KUN
tripx,Palanga/Klaipedia,PLQ
tripx,Vilnius,VNO
tripx,Gozo,GZO
tripx,Malta,MLA
tripx,Agadir,AGA
tripx,Marrakech,RAK
tripx,Tivat,TIV
tripx,Amsterdam,AMS
tripx,Skopje,SKP
tripx,Bergen,BGO
tripx,Longyearbyen - Svalbard,LYR
tripx,Oslo,OSL
tripx,Stavanger,SVG
tripx,Tromsö,TOS
tripx,Trondheim,TRD
tripx,Gdansk,GDN
tripx,Krakow,KRK
tripx,Poznan,POZ
tripx,Warszawa,WAW
tripx,Wroclaw,WRO
tripx,Algarve,FAO
tripx,Lissabon,LIS
tripx,Madeira,FNC
tripx,Porto,OPO
tripx,Qatar,DOH
tripx,Bukarest,OTP
tripx,Basel-Mullhouse,BSL
tripx,Genève,GVA
tripx,Zürich,ZRH
tripx,Belgrad,BEG
tripx,Ljubljana,LJU
tripx,Barcelona,BCN
tripx,Bilbao,BIO
tripx,Costa Blanca,ALC
tripx,Costa Brava,GRO
tripx,Costa Dorada,SIT
tripx,Costa del Sol,AGP
tripx,Gran Canaria,LPA
tripx,Lanzarote,ACE
tripx,Madrid,MAD
tripx,Mallorca,PMI
tripx,Teneriffa,TFS
tripx,Valencia,VLC
tripx,Birmingham,BHX
tripx,Edinburgh,EDI
tripx,Liverpool,LPL
tripx,London,LON
tripx,Manchester,MAN
tripx,Göteborg,GOT
tripx,Luleå,LLA
tripx,Malmö,MMX
tripx,Stockholm,STO
tripx,Umeå,UME
tripx,Bangkok,BKK
tripx,Södra Thailand,HKT
tripx,Prag,PRG
tripx,Bodrum,BJV
tripx,Istanbul,IST
tripx,Norra Cypern,ECN
tripx,Södra Turkiet,AYT
tripx,Berlin,BER
tripx,Düsseldorf,DUS
tripx,Frankfurt,FRA
tripx,Hamburg,HAM
tripx,München,MUC
tripx,Fort Lauderdale,FLL
tripx,Miami,MIA
tripx,New York,NYC
tripx,Budapest,BUD
tripx,Wien,VIE
almena,Hammamet,Hammamet
almena,Sousse,Sousse
almena,Hurghada,Hurghada
almena,Djerba,Djerba
almena,Sharm El Sheikh,Sharm El Sheikh
